Player,Team,GP,TOI,G,A1,A2,Points,ixG,GIVE,TAKE,WAR,p/60
Clayton Keller,ARI,3,38,0,1,1,2,0,0,1,-0.1,3.15789485
Clayton Stoner,ANA,14,245.72,1,1,1,3,0.5,3,2,0.1,0.7325411
Cody Bass,NSH,9,60.9,0,0,0,0,0.01,1,2,-0.2,0
Cody Ceci,OTT,79,1833.2,2,6,9,17,5.67,74,22,0.3,0.5564041
Cody Eakin,DAL,60,1008.92,3,7,2,12,10.21,33,24,-1.2,0.7136344
Cody Franson,BUF,68,1256.8,3,6,10,19,3.06,30,14,0.9,0.9070655
Cody Goloubef,COL,33,560.65,0,2,3,5,0.83,7,5,0,0.5350932
Cody McLeod,COL,28,164.57,1,0,0,1,0.87,0,2,-0.3,0.364586473
Cody McLeod,NSH,31,258.2,4,0,1,5,2.22,2,2,-0.3,1.16188991
Cole Schneider,BUF,4,28.57,0,1,0,1,0.16,0,0,0.1,2.100105
Colin McDonald,PHI,3,27.07,1,0,0,1,0.55,0,0,0,2.21647573
Colin Miller,BOS,61,964.77,6,4,3,13,4.08,30,19,0.7,0.8084828
Colin White (C),OTT,2,27.42,0,0,0,0,0.12,0,1,0,0
Colin Wilson,NSH,70,1047.02,12,17,6,35,14.26,25,23,2.5,2.00569224
Colton Parayko,STL,81,1716.97,4,17,14,35,7.69,39,38,2.1,1.22308493
Colton Sceviour,FLA,80,1170.68,9,9,6,24,14.43,23,40,0.5,1.23005426
Colton Sissons,NSH,58,645.13,8,2,0,10,6.68,11,12,0.1,0.9300451
Connor Brown,TOR,82,1328.88,20,10,6,36,17.25,25,40,0.8,1.62542892
Connor Carrick,TOR,67,1094.52,2,4,2,8,4.53,46,14,1.7,0.4385484
Connor Jones,NYI,4,47.38,0,0,0,0,0.52,1,2,0.1,0
Connor McDavid,EDM,82,1732.78,30,44,26,100,34.11,54,76,6.3,3.46264386
Connor Murphy,ARI,77,1476.73,2,7,8,17,3.39,31,13,1.1,0.6907153
Conor Sheary,PIT,61,972.2,23,12,18,53,18.45,25,26,1.9,3.270932
Corey Perry,ANA,82,1452.7,19,21,14,54,29.36,38,32,1.2,2.23032975
Corey Tropp,ANA,1,9.47,0,0,0,0,0,0,0,0,0
Cory Conacher,T.B,11,127.18,1,3,0,4,1.85,8,6,0.1,1.88708913
Craig Smith,NSH,78,1078.2,12,13,4,29,16.11,35,34,0.8,1.61380088
Curtis Lazar,CGY,4,47.1,1,1,1,3,0.43,0,1,0.1,3.82165623
Curtis Lazar,OTT,33,290.85,0,0,1,1,1.77,6,6,0.1,0.2062919
Curtis McKenzie,DAL,53,575.15,6,5,5,16,8.03,10,12,0.3,1.66912973
Dale Weise,PHI,64,824.43,8,4,3,15,9.06,14,13,1.1,1.09166336
Dalton Prout,CBJ,15,195.88,0,1,2,3,0.11,7,2,0.1,0.918929935
Dalton Prout,N.J,14,209.15,0,1,2,3,0.21,5,1,0.1,0.8606264
Damon Severson,N.J,80,1628.18,3,13,15,31,6.26,54,24,-0.9,1.14237976
Dan Girardi,NYR,63,1203.47,4,2,9,15,1.7,46,10,-0.7,0.747837543
Dan Hamhuis,DAL,79,1529.43,1,7,8,16,3.61,37,19,0.5,0.6276848
Dan Renouf,DET,1,13.58,0,0,0,0,0.05,0,0,0,0
Daniel Carr,MTL,33,338.43,2,5,2,9,5.46,6,7,1,1.59560323
Daniel O'Regan,S.J,3,34.65,1,0,0,1,0.29,0,2,-0.1,1.7316016
Daniel Sedin,VAN,82,1507.6,15,22,7,44,18.37,30,26,-0.2,1.7511276
Daniel Winnik,WSH,72,929.88,12,10,3,25,9.42,30,30,1.3,1.61311138
Danny Dekeyser,DET,82,1800.2,4,6,2,12,3.44,45,16,0.5,0.399955571
Danton Heinen,BOS,8,105.87,0,0,0,0,0.57,2,5,-0.5,0
Darnell Nurse,EDM,44,748.78,5,2,4,11,3.07,36,11,-0.3,0.8814338
Darren Helm,DET,50,768.47,9,3,6,18,9.85,20,17,0.8,1.40539
David Backes,BOS,74,1265.87,17,12,9,38,19.04,35,28,1.6,1.8011328
David Desharnais,EDM,18,204.15,2,2,0,4,2.15,5,6,0.1,1.17560625
David Desharnais,MTL,31,406.32,4,1,5,10,3.17,7,15,0.1,1.4766686
David Krejci,BOS,82,1497.67,23,23,8,54,18.44,51,60,0.6,2.16336036
David Pastrnak,BOS,75,1348.13,34,22,14,70,28.38,65,50,3.7,3.11542654
David Perron,STL,82,1418.43,18,16,12,46,16.51,21,48,1.6,1.9458133
David Savard,CBJ,74,1615.67,6,8,9,23,6.29,44,22,2.4,0.8541348
David Schlemko,S.J,62,1038.28,2,8,8,18,5.4,42,28,0.9,1.04018176
David Warsofsky,PIT,7,110.13,0,1,0,1,0.38,3,2,-0.3,0.5448107
Denis Gurianov,DAL,1,13.1,0,0,0,0,0.04,0,0,0,0
Denis Malgin,FLA,47,528.2,6,1,3,10,5.75,11,17,0.4,1.13593328
Dennis Rasmussen,CHI,68,804.23,4,4,0,8,6.87,19,25,0.9,0.5968442
Dennis Seidenberg,NYI,73,1418.15,5,5,12,22,2.79,33,10,2.1,0.9307901
Dennis Wideman,CGY,57,1153.08,5,6,7,18,3.81,49,21,-0.5,0.936621964
Derek Dorsett,VAN,14,139.05,1,2,1,4,1.79,1,2,0.3,1.72599781
Derek Forbort,L.A,82,1649.52,2,6,10,18,2.77,73,9,0.3,0.6547359
Derek Grant,BUF,40,396.83,0,2,1,3,3.35,8,9,-0.4,0.453594744
Derek Grant,NSH,6,52.13,0,0,1,1,0.59,1,1,-0.4,1.15096867
Derek MacKenzie,FLA,82,1030.32,6,7,3,16,9.72,25,34,-1,0.9317494
Derek Ryan,CAR,67,997.73,11,9,9,29,10.12,36,33,0.6,1.74395883
Derek Stepan,NYR,81,1507.28,17,24,14,55,16.65,56,51,2.2,2.18937421
Derick Brassard,OTT,81,1407.68,14,12,13,39,17.52,37,37,1.7,1.66230953
Derrick Pouliot,PIT,11,163.73,0,0,0,0,0.43,6,3,-0.8,0
Deryk Engelland,CGY,81,1484.72,4,6,6,16,3.54,49,19,0.2,0.6465866
Devante Smith-Pelly,N.J,53,715.83,4,2,3,9,7.59,14,17,-0.8,0.754369
Devin Setoguchi,L.A,45,559.88,4,4,4,12,6.72,19,15,0.9,1.28598988
Devin Shore,DAL,82,1159.12,13,13,7,33,17.84,25,26,1,1.70819247
Dillon Simpson,EDM,3,32.65,0,0,0,0,0.05,1,0,0,0
Dion Phaneuf,OTT,81,1866.37,9,10,11,30,8.21,54,16,-0.1,0.964439
Dmitrij Jaskin,STL,51,589.2,1,5,5,11,5.44,7,13,0.7,1.120163
Dmitry Kulikov,BUF,47,1029.43,2,1,2,5,2.17,32,18,-1.4,0.29142338
Dmitry Orlov,WSH,82,1601.78,6,19,8,33,5.78,50,34,2.5,1.23612475
Dominic Moore,BOS,82,1061.22,11,7,7,25,9.44,26,31,0,1.41346753
Dominik Simon,PIT,2,26.08,0,1,0,1,0.35,1,1,0,2.3006134
Dougie Hamilton,CGY,81,1594.42,13,17,20,50,10.46,52,17,1.5,1.88156188
Drake Caggiula,EDM,60,794.12,7,6,5,18,11.66,25,22,0.9,1.359996
Drew Doughty,L.A,82,2225.83,12,16,16,44,10.42,86,24,1,1.18607438
Drew Miller,DET,55,565.48,5,1,1,7,4.68,5,13,-0.7,0.742731869
Drew Shore,VAN,14,167.52,0,2,0,2,0.9,5,4,-0.1,0.7163324
Drew Stafford,BOS,18,256.93,4,3,1,8,3.44,7,6,0.4,1.86821318
Drew Stafford,WPG,40,531.92,4,6,3,13,5.14,21,7,0.4,1.466386
Duncan Keith,CHI,80,2049.33,6,19,28,53,7.61,73,32,-0.2,1.55172658
Duncan Siemens,COL,3,36.93,0,0,0,0,0.09,2,0,-0.1,0
Dustin Brown,L.A,80,1280.02,14,9,13,36,18.39,27,25,1.7,1.68747365
Dustin Byfuglien,WPG,80,2195.57,13,20,19,52,15.32,85,65,0.6,1.42104328
Dwight King,L.A,63,944.52,8,4,3,15,8.06,14,13,0.4,0.952864945
Dwight King,MTL,17,208.02,1,0,0,1,1.58,4,2,0.4,0.2884338
Dylan Demelo,S.J,25,397.32,1,5,2,8,1.33,12,4,0.3,1.20809424
Dylan Larkin,DET,80,1292.23,17,7,8,32,15.77,51,49,-0.5,1.4858036
Dylan McIlrath,FLA,5,47.87,1,0,0,1,0.06,3,1,-0.1,1.2533946
Dylan McIlrath,NYR,1,9.23,0,0,0,0,0,0,0,-0.1,0
Dylan Strome,ARI,7,95.78,0,1,0,1,0.71,0,3,-0.4,0.6264356
Elias Lindholm,CAR,72,1309.05,11,29,5,45,18.52,37,57,1.3,2.06256437
Emerson Etem,ANA,3,26.42,0,0,0,0,0,0,0,0,0
Eric Fehr,PIT,52,568.45,6,3,2,11,6.85,10,24,-0.2,1.161052
Eric Fehr,TOR,1,10.73,0,0,0,0,0.27,0,0,-0.2,0
Eric Gelinas,COL,27,312.73,0,0,1,1,0.75,6,3,0.2,0.191858783
Eric Gryba,EDM,40,645.58,2,3,1,6,1.83,21,6,-0.7,0.557638049
Eric Staal,MIN,82,1525.8,28,24,13,65,25.55,24,51,1.6,2.556036
Erik Burgdoerfer,BUF,2,22.33,0,0,0,0,0.03,1,0,0,0
Erik Condra,T.B,13,125.32,0,0,0,0,0.69,2,3,-0.3,0
Erik Gudbranson,VAN,30,609.75,1,5,0,6,1.27,23,4,-0.4,0.5904059
Erik Haula,MIN,72,994.55,15,7,4,26,10.98,18,24,0.9,1.56854856
Erik Johnson,COL,46,1015.75,2,7,8,17,3.84,23,18,0.4,1.00418413
Erik Karlsson,OTT,77,2066.48,17,25,29,71,13.76,106,59,2.4,2.06147647
Esa Lindell,DAL,73,1596.58,6,5,7,18,5.5,47,34,0,0.6764459
Evan McEneny,VAN,1,15.13,0,0,0,0,0.01,0,0,0,0
Evan Rodrigues,BUF,30,387.75,4,2,0,6,2.69,9,12,0.1,0.928433239
Evander Kane,BUF,70,1344.13,28,8,7,43,19.75,33,34,-0.3,1.9194572
Evgeni Malkin,PIT,62,1154.38,33,26,13,72,21.34,54,52,3.1,3.74226856
Evgeny Kuznetsov,WSH,82,1390.17,19,23,17,59,18.82,59,43,1.4,2.546451
Evgeny Svechnikov,DET,2,26.28,0,0,0,0,0.37,1,0,0,0
Fedor Tyutin,COL,69,1306.75,1,1,11,13,1.42,19,15,-0.7,0.5969007
Filip Forsberg,NSH,82,1518.48,31,17,10,58,26.21,62,76,1.5,2.29176545
Francois Beauchemin,COL,81,1742.77,5,8,5,18,4.59,47,28,1.2,0.6197031
Frank Corrado,PIT,2,15.08,0,0,0,0,0.04,0,0,0,0
Frank Corrado,TOR,2,28,0,0,0,0,0.17,2,0,0,0
Frank Vatrano,BOS,44,593.02,10,2,6,18,8.95,8,9,0.6,1.82118642
Frans Nielsen,DET,79,1354.68,17,12,12,41,16.67,26,29,0.5,1.81592691
Freddie Hamilton,CGY,26,254.3,2,0,0,2,2.81,2,3,-0.3,0.4718836
Frederick Gaudreau,NSH,9,77.97,0,0,1,1,0.72,1,2,0.4,0.7695267
Frederik Gauthier,TOR,21,203.55,2,0,1,3,1.41,3,5,0.3,0.88430357
Fredrik Claesson,OTT,33,433.18,3,3,5,11,1.37,15,4,0.3,1.52361608
Gabriel Bourque,COL,6,67.2,0,0,0,0,0.34,0,1,-0.1,0
Gabriel Carlsson,CBJ,2,34.25,0,0,1,1,0.05,0,0,0.1,1.75182486
Gabriel Dumont,T.B,39,377.12,2,2,0,4,3.98,5,6,0.5,0.6364022
Gabriel Landeskog,COL,72,1352.27,18,7,8,33,17.67,36,65,0.8,1.46420467
Garnet Hathaway,CGY,26,237.62,1,2,2,5,2.52,3,8,0.1,1.26252007
Garrett Mitchell,WSH,1,8.8,0,0,0,0,0,0,0,0,0
Gemel Smith,DAL,17,230.95,3,1,2,6,2.15,6,4,-0.2,1.558779
Greg McKegg,FLA,31,316.5,3,2,1,6,2.38,5,5,0.4,1.1374408
Greg McKegg,T.B,15,139.02,0,1,0,1,0.52,1,2,0.4,0.431592554
Greg Pateryn,DAL,12,210.1,0,0,3,3,0.44,6,0,0,0.8567349
Greg Pateryn,MTL,24,345.1,1,1,4,6,0.95,16,4,0,1.04317582
Griffen Molino,VAN,5,52.93,0,0,0,0,0.39,1,0,-0.3,0
Gustav Forsling,CHI,38,563.12,2,2,1,5,1.7,27,5,-0.7,0.532746136
Gustav Nyquist,DET,76,1325.03,12,22,14,48,19.64,35,32,1.9,2.17353559
Gustav Olofsson,MIN,13,175.27,0,0,3,3,0.31,1,3,0.1,1.026987
Hampus Lindholm,ANA,66,1481.67,6,5,9,20,5.28,63,18,2.1,0.809896946
Harry Zolnierczyk,NSH,24,212.93,2,2,0,4,1.65,1,7,-0.1,1.127131
Henrik Sedin,VAN,82,1561.33,15,13,22,50,10.91,52,29,-0.2,1.92143881
Henrik Zetterberg,DET,82,1617.4,17,35,17,69,14.87,37,38,3.3,2.55966353
Hudson Fasching,BUF,10,104.08,0,1,0,1,0.73,1,1,-0.2,0.5764796
Hunter Shinkaruk,CGY,7,74.08,0,0,1,1,0.56,1,2,-0.2,0.8099352
Ian Cole,PIT,81,1605.42,5,11,10,26,4.24,50,32,1.1,0.9717083
Ian McCoshen,FLA,3,39.77,0,0,1,1,0,0,0,0,1.50867486
Iiro Pakarinen,EDM,14,124.93,2,1,1,4,1.3,2,4,0.3,1.92107582
Ivan Barbashev,STL,30,353.73,5,4,3,12,2.9,3,9,0.7,2.0354507
Ivan Provorov,PHI,82,1802.2,6,15,9,30,7.22,81,23,1.1,0.9987793
J.T. Brown,T.B,64,663.73,3,1,2,6,6.13,11,8,0.1,0.5423892
J.T. Compher,COL,21,313.52,3,1,1,5,2.72,8,6,0.6,0.9568768
J.T. Miller,NYR,82,1342.05,22,21,13,56,17.02,51,49,0.2,2.50363231
Jaccob Slavin,CAR,82,1921.93,5,14,15,34,4.11,54,83,3.9,1.061433
Jack Eichel,BUF,61,1215.13,24,19,14,57,21.11,46,38,1.6,2.81451368
Jack Johnson,CBJ,82,1789.43,5,6,12,23,4.55,27,20,1.9,0.7711953
