Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways,TOI,WAR,p/60
Jack Johnson,PIT,82,0,6,6,13.04,2.47,35,23,12,1580.8,-1.2,0.227732792
Mark Borowiecki,OTT,53,1,4,5,21.74,2.62,48,23,13,825.2,-0.7,0.363548219
Timo Meier,S.J,78,22,25,47,75.81,19.84,37,34,41,1323.4,2.6,2.13087487
Gabriel Landeskog,COL,73,17,19,36,62.07,13.83,34,39,40,1543.8,2.2,1.39914489
Zach Hyman,TOR,71,14,19,33,55,14.48,50,22,23,1226.5,0.9,1.61434972
Kevin Labanc,S.J,82,13,20,33,71.74,10.19,30,37,20,1149.6,0.4,1.7223382
Tyson Barrie,COL,78,11,19,30,50,7.82,32,36,26,1698.5,0.8,1.05975866
Alex Killorn,T.B,82,12,15,27,60,11.19,30,18,20,1219.7,0.8,1.32819545
Mattias Ekholm,NSH,80,4,23,27,41.54,4.82,30,53,31,1869.1,2,0.8667273
Frank Vatrano,FLA,81,18,7,25,73.53,14.7,30,25,32,1187.7,0.4,1.26294529
Ryan Suter,MIN,82,3,21,24,35.82,4.65,30,27,19,2188.8,1,0.657894731
Radek Faksa,DAL,81,10,12,22,66.67,11.42,40,25,38,1330.8,-0.3,0.9918845
Alexander Kerfoot,COL,78,9,13,22,68.75,8.68,30,20,22,N/A,N/A,N/A
Rasmus Dahlin,BUF,82,4,18,22,37.93,4.81,30,63,33,1734.8,1.6,0.7608946
Brady Skjei,NYR,78,6,13,19,35.19,5.05,30,54,27,1656.3,0.6,0.688281059
Jake Virtanen,VAN,70,11,8,19,67.86,9.11,32,19,43,1037.3,-1,1.099007
Blake Comeau,DAL,77,7,11,18,60,8.5,30,34,29,1210.9,0.1,0.8918986
Wayne Simmonds,"NSH, PHI",79,10,8,18,58.06,10.3,45,28,25,211.7,-0.2,5.10155869
Robert Hagg,PHI,82,4,14,18,35.29,4.17,32,39,4,1389.5,-1.9,0.777258
Radko Gudas,PHI,77,3,14,17,37.78,3.48,30,48,20,1376.4,1.4,0.741063654
Garnet Hathaway,CGY,76,9,8,17,62.96,6.75,45,24,19,800,1.1,1.275
Drew Doughty,L.A,82,0,16,16,34.04,4.09,30,72,18,2179.1,-0.4,0.440548837
Scott Mayfield,NYI,79,3,13,16,34.78,4.48,40,62,10,1480,0.6,0.6486486
Milan Lucic,EDM,79,4,11,15,55.56,8,40,30,26,1045.6,0,0.860749841
Jamie Oleksiak,"DAL, PIT",57,4,8,12,33.33,2.33,40,37,9,268.4,0,2.6825633
Madison Bowey,"DET, WSH",50,2,8,10,38.46,2.02,40,28,9,309.3,-0.2,1.93986428
Ben Lovejoy,"DAL, N.J",71,2,7,9,28.13,2.73,30,32,16,316.6,0,1.7056222
Roman Polak,DAL,77,1,7,8,20.51,3.02,30,42,15,1476,-0.9,0.32520324
Nikita Kucherov,T.B,82,24,45,69,84.15,12.51,34,62,50,1637.2,3.4,2.52870774
