Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways,TOI,WAR,p/60
Lukas Sedlak,CBJ,47,4,2,6,50,4.26,8,8,5,423,0.5,0.851063848
Jean-Sebastien Dea,"N.J, PIT",23,4,2,6,85.71,2.52,8,6,13,214.8,0.2,1.67597759
Martin Marincin,TOR,24,1,4,5,35.71,1.1,8,23,9,364.8,0.3,0.822368443
Miikka Salomaki,NSH,37,1,4,5,45.45,4.19,8,5,6,386.9,0.2,0.775394142
Mackenzie MacEachern,STL,29,3,2,5,83.33,3.01,8,0,6,232.9,-0.2,1.28810656
Michael Stone,CGY,14,0,4,4,50,0.41,8,6,5,223.1,-0.3,1.07575071
Brandon Manning,"CHI, EDM",39,2,2,4,25,1.34,13,13,6,417.8,-0.2,0.574437559
Andy Welinski,ANA,26,1,3,4,30.77,1.32,8,14,5,417,-0.6,0.5755396
Phillip Di Giuseppe,"CAR, NSH",24,1,3,4,57.14,2.44,8,5,9,208.2,-0.2,1.15273774
Jaycob Megna,ANA,28,1,3,4,33.33,0.85,8,21,11,406.9,-0.1,0.5898255
Andreas Martinsen,CHI,24,1,3,4,80,1.7,8,7,3,190.4,-0.2,1.26050425
Zac Rinaldo,NSH,23,1,2,3,75,0.77,13,2,4,163.9,0,1.09823072
Brad Hunt,"MIN, VGK",42,1,2,3,21.43,2.15,8,14,16,428.2,-0.7,0.4203643
Vladislav Kamenev,COL,23,0,3,3,60,1.19,8,5,2,207.9,0,0.8658009
Oscar Fantenberg,"CGY, L.A",61,2,1,3,10.34,2.28,8,35,12,237.4,0.5,0.758214
Luke Witkowski,DET,34,0,2,2,16.67,0.6,23,20,2,326.3,0.3,0.367759734
Dalton Prout,CGY,20,1,1,2,18.18,0.53,8,9,3,262.3,0.2,0.457491457
Josh Brown,FLA,37,1,1,2,18.18,0.86,18,17,12,492.1,-0.4,0.243852869
Ian McCoshen,FLA,19,1,1,2,28.57,0.59,8,11,5,253.1,-0.3,0.4741209
Connor Clifton,BOS,19,0,1,1,10,0.45,8,8,9,336.4,0.2,0.1783591
Vinni Lettieri,NYR,27,0,1,1,33.33,3.17,8,8,7,274.2,-0.9,0.218818367
Jake Dotchin,ANA,20,0,0,0,0,0.33,28,7,4,236.2,-0.7,0
Johnny Gaudreau,CGY,82,23,37,60,82.19,16.09,10,96,55,1646.1,3.2,2.1869874
Cam Atkinson,CBJ,80,25,19,44,64.71,17.41,10,41,34,1550.2,1.2,1.70300615
Morgan Rielly,TOR,82,15,28,43,43.43,6.67,10,87,49,1896,3.7,1.3607595
William Karlsson,VGK,82,15,22,37,67.27,12.17,10,32,58,1545.4,1.8,1.43652129
Joe Pavelski,S.J,75,21,15,36,76.6,16.59,10,33,32,1428.3,1.1,1.51228726
Brock Boeser,VAN,69,16,16,32,68.09,10.68,10,23,36,1321.3,1.8,1.45311427
Travis Zajac,N.J,80,12,18,30,73.17,8.97,10,28,43,1541.7,1.4,1.16754234
Nick Foligno,CBJ,73,15,15,30,58.82,8.68,15,23,34,1292.4,1.9,1.39275765
Jimmy Vesey,NYR,81,13,15,28,70,12.61,15,36,40,1300.7,0.1,1.29161227
Danton Heinen,BOS,77,10,16,26,70.27,8.67,10,28,43,1075.7,1.4,1.45021856
Frans Nielsen,DET,72,10,15,25,64.1,6.5,10,26,16,1200.9,0.8,1.24906313
Anthony Duclair,"CBJ, OTT",74,12,13,25,67.57,9.45,10,23,30,652.4,-0.2,2.299203
Brandon Tanev,WPG,80,11,13,24,80,8.95,20,15,18,1128.8,0.5,1.27569091
Ivan Barbashev,STL,80,11,12,23,88.46,6.43,15,13,31,921.1,-0.1,1.49820876
Connor Brown,TOR,82,6,16,22,64.71,7.67,10,14,23,1131,0.3,1.16710877
Marc-Edouard Vlasic,S.J,72,3,18,21,39.62,3.7,10,41,16,1515.1,-0.4,0.831628263
Cody Ceci,OTT,74,6,15,21,38.18,4.53,10,53,16,1669.5,-0.1,0.754717
Austin Wagner,L.A,62,12,9,21,91.3,7.19,10,18,8,553.6,0.2,2.27601171
Calle Jarnkrok,NSH,79,7,11,18,45,7.82,10,15,23,1219,0.8,0.8859721
Kenny Agostino,"MTL, N.J",63,6,12,18,66.67,5.78,15,26,25,402.7,0.4,2.68189716
Shayne Gostisbehere,PHI,78,4,14,18,42.86,4.45,10,47,16,1533.4,0.5,0.7043172
Torey Krug,BOS,64,3,14,17,39.53,3.65,10,36,17,1362.5,1.7,0.748623848
Luke Kunin,MIN,49,6,10,16,57.14,5.98,15,12,10,778.4,0.2,1.233299
Matt Cullen,PIT,71,5,10,15,60,5.98,10,18,17,817.2,0.2,1.10132158
Cal Clutterbuck,NYI,73,3,12,15,60,8.14,10,21,16,1020,0.4,0.882352948
Markus Granlund,VAN,77,8,7,15,68.18,7.72,12,4,22,1158.2,0,0.7770679
Colton Parayko,STL,80,5,10,15,25.86,4.89,10,34,23,1822.7,2.6,0.493772984
Brett Kulak,MTL,57,5,10,15,29.41,3.84,15,42,15,1017,2,0.884955764
Joel Armia,MTL,57,7,6,13,56.52,8.23,10,26,30,900.2,0.5,0.8664741
Dan Girardi,T.B,62,3,9,12,25.53,3.41,10,22,5,1103.6,0.5,0.6524103
Jordan Weal,"ARI, MTL, PHI",63,4,8,12,52.17,5.28,10,15,20,207.9,0.3,3.46320367
Cam Fowler,ANA,59,2,10,12,33.33,2.59,10,33,20,1378.7,-0.1,0.5222311
Conor Garland,ARI,47,9,3,12,75,5.66,10,8,21,601.1,0.7,1.19780409
Sam Gagner,"EDM, VAN",32,4,7,11,73.33,4.36,10,18,5,339.8,-0.1,1.942319
Nate Thompson,"L.A, MTL",78,4,6,10,41.67,4.45,10,19,25,684.5,0.3,0.8765522
Riley Nash,CBJ,78,2,8,10,62.5,6.75,15,13,39,845.5,-0.3,0.709639251
Mike Reilly,MTL,57,2,8,10,23.26,3.65,10,53,11,1064.5,0,0.5636449
Olli Maatta,PIT,60,0,10,10,23.26,1.9,10,37,11,1115.4,2.3,0.5379236
Jacob de la Rose,DET,60,3,6,9,52.94,3.71,12,11,16,N/A,N/A,N/A
Brandon Dubinsky,CBJ,61,4,4,8,66.67,4.6,10,6,12,753.7,-0.5,0.636858165
Oliver Kylington,CGY,38,3,5,8,53.33,1.19,10,31,13,472,-0.5,1.01694918
Matt Irwin,NSH,44,1,6,7,35,1.22,10,12,8,497,0.4,0.8450704
Joe Morrow,WPG,41,1,6,7,25,1.35,15,28,5,572.3,0.3,0.7338808
J.T. Brown,MIN,56,2,5,7,43.75,4.12,15,9,16,513.5,0.3,0.8179163
Teddy Blueger,PIT,28,5,2,7,70,2.86,15,7,3,309.6,0,1.35658908
Joakim Ryan,S.J,44,0,7,7,24.14,1.3,10,9,11,562.1,-0.2,0.747198045
Colby Cave,"BOS, EDM",53,2,5,7,50,5.32,10,10,20,263.8,-0.3,1.59211528
Corey Perry,ANA,31,4,2,6,75,4.51,10,10,10,459.5,-0.6,0.783460259
Julius Honka,DAL,29,0,4,4,26.67,1.5,10,24,4,397.7,0.8,0.6034699
Juuso Riikola,PIT,37,0,3,3,14.29,1.81,10,14,12,617.3,0.3,0.291592419
Jori Lehtera,PHI,27,1,1,2,40,1.21,15,4,4,246,-0.4,0.4878049
Auston Matthews,TOR,68,23,24,47,85.45,17.96,12,54,48,1261.7,1.7,2.23507977
Mark Scheifele,WPG,82,20,23,43,72.88,12.21,12,34,54,1792.7,1.7,1.43917
Sean Couturier,PHI,80,21,22,43,65.15,13.25,12,35,28,1770.2,4,1.45746243
Sebastian Aho,CAR,82,14,26,40,63.49,17.06,12,53,62,1652.3,2.8,1.45252073
Elias Pettersson,VAN,71,14,25,39,82.98,8.05,12,39,35,1294.1,3.3,1.80820656
Dylan Strome,"ARI, CHI",78,12,25,37,64.91,8.51,12,31,45,270.6,-0.4,8.203991
Jakub Voracek,PHI,78,12,24,36,75,10.3,17,45,24,1456.4,0.8,1.483109
Andreas Athanasiou,DET,76,21,13,34,85,13.51,22,40,22,1290.1,1.3,1.58127284
Brandon Saad,CHI,80,14,18,32,66.67,13.71,12,29,21,1415.1,0.1,1.3567946
Chris Tierney,OTT,81,6,26,32,71.11,7.42,12,47,45,1379.5,1,1.39180863
Colin White,OTT,71,8,24,32,78.05,10.05,12,33,20,N/A,N/A,N/A
James van Riemsdyk,PHI,66,14,13,27,75,8.83,12,17,23,N/A,N/A,N/A
Valtteri Filppula,NYI,72,14,12,26,76.47,6.11,12,22,29,1027.8,1.2,1.517805
Conor Sheary,BUF,78,8,18,26,76.47,10.3,12,23,33,1140.4,0.3,1.367941
Jake DeBrusk,BOS,68,17,9,26,68.42,10.35,12,23,38,N/A,N/A,N/A
Andre Burakovsky,WSH,76,11,13,24,68.57,7.66,12,28,27,845.5,0.5,1.7031343
Noah Hanifin,CGY,80,3,21,24,38.71,4.67,12,79,39,1661.9,0,0.8664781
Erik Karlsson,S.J,53,1,22,23,41.82,4.48,14,51,48,1297.8,3.1,1.06333792
Mark Jankowski,CGY,79,8,14,22,81.48,8.15,12,35,37,1003.9,0.9,1.314872
Ryan Pulock,NYI,82,3,19,22,35.48,5.83,12,52,22,1833.8,2.2,0.719816744
Tyson Jost,COL,70,7,14,21,70,7.96,12,8,28,910.4,0.7,1.384007
J.T. Compher,COL,66,9,11,20,74.07,8.22,14,15,18,1153.4,-0.1,1.04040229
Drake Caggiula,"CHI, EDM",55,10,10,20,57.14,7.95,14,17,14,386.1,0.2,3.10800314
Esa Lindell,DAL,82,4,15,19,37.25,4.32,17,74,22,1994.8,1,0.5714859
Adam Lowry,WPG,78,10,8,18,60,11.22,22,19,37,1141.8,0.7,0.94587487
Pontus Aberg,"ANA, MIN",59,9,8,17,68,6.46,12,31,15,577.9,0.6,1.76501119
Zach Sanford,STL,60,8,9,17,62.96,7.81,17,12,28,754.7,0.4,1.35153043
Riley Sheahan,"FLA, PIT",82,7,9,16,59.26,9.9,12,20,38,483.7,0.8,1.98470116
Alex Goligoski,ARI,76,1,14,15,32.61,2.81,12,50,16,1581.9,1.3,0.5689361
Nick Leddy,NYI,82,4,11,15,24.19,4.02,12,55,13,1767.1,0.2,0.509309053
Tomas Nosek,VGK,68,7,8,15,62.5,10.41,12,12,28,848,0.6,1.06132078
Warren Foegele,CAR,77,10,5,15,60,11.64,12,27,29,962,-0.5,0.9355509
Denis Malgin,FLA,50,7,8,15,71.43,4.92,12,13,12,644.5,0.4,1.39643133
Andy Greene,N.J,82,3,11,14,28.57,4.12,12,34,31,1708.4,0.3,0.491688132
Mikko Koivu,MIN,48,4,9,13,61.9,5.02,12,7,25,878.3,-0.2,0.8880793
Nick Holden,VGK,61,3,10,13,30.95,3.32,12,28,21,1115.8,0.7,0.69904995
Derek Grant,"ANA, PIT",56,4,9,13,61.9,4.73,12,14,15,428.6,-0.3,1.8198787
Matt Martin,NYI,67,5,8,13,56.52,5.49,27,18,11,766,0.5,1.01827681
Austin Watson,NSH,37,4,8,12,60,4.75,17,10,10,536.2,0.5,1.3427825
Oscar Klefbom,EDM,61,1,11,12,40,5.15,12,37,20,1462.7,-0.1,0.4922404
Matt Dumba,MIN,32,6,4,10,41.67,3.16,12,14,9,748,0.8,0.802139044
Brooks Orpik,WSH,53,2,7,9,24.32,1.07,12,23,3,830.1,1.1,0.6505241
Dale Weise,"MTL, PHI",51,4,5,9,69.23,5.32,17,8,7,90.7,-0.3,5.953694
Taylor Fedun,DAL,54,4,4,8,42.11,2.57,12,37,12,748.3,0.3,0.641454
Jason Demers,ARI,35,2,5,7,33.33,1.07,12,14,12,699.7,0,0.6002572
Stefan Noesen,N.J,41,2,4,6,66.67,6.69,12,9,17,522,-1.1,0.6896552
Trevor Daley,DET,44,1,4,5,20,2.25,12,30,9,816.6,-1.2,0.367376953
Chris Wideman,"EDM, FLA, OTT",25,1,4,5,55.56,0.87,12,8,3,57.2,0,5.24475527
Kevin Connauton,ARI,50,1,4,5,20,2.52,12,21,5,917.6,-0.4,0.326939851
Michael Chaput,MTL,32,0,5,5,62.5,2.69,12,7,4,359.1,-0.4,0.83542186
Lias Andersson,NYR,42,1,4,5,55.56,2.56,12,11,12,450.1,-0.7,0.666518569
Nicolas Deslauriers,MTL,48,1,3,4,44.44,3.94,17,9,9,481.8,-0.8,0.49813202
Charles Hudon,MTL,32,3,1,4,44.44,3.78,12,13,8,373.5,-0.8,0.642570257
Anthony Bitetto,"MIN, NSH",36,0,3,3,27.27,1.47,12,12,6,237.3,-0.9,0.7585335
Juuso Valimaki,CGY,24,1,2,3,30,0.94,12,12,8,371.6,-0.5,0.4843918
A.J. Greer,COL,15,1,1,2,100,0.87,12,1,4,94,-0.3,1.27659571
Connor McDavid,EDM,78,24,40,64,83.12,16.91,14,68,89,1781.3,4.2,2.15572882
Mitchell Marner,TOR,82,16,42,58,73.42,12.48,14,55,59,N/A,N/A,N/A
Claude Giroux,PHI,82,16,34,50,73.53,9.9,14,40,36,1759.4,3.4,1.70512676
Tyler Seguin,DAL,82,19,26,45,75,17.64,14,41,42,1701.2,3,1.587115
Brent Burns,S.J,82,6,36,42,50.6,7.17,14,91,65,2058.1,2.4,1.2244302
Jeff Skinner,BUF,82,27,15,42,60,17.83,14,34,53,1518.5,3.4,1.65953243
Logan Couture,S.J,81,17,24,41,69.49,12.51,14,30,55,1506.2,1.5,1.63324928
Elias Lindholm,CGY,81,13,25,38,61.29,10.36,14,34,32,1623.1,2,1.40471935
Yanni Gourde,T.B,80,14,20,34,65.38,11.08,24,30,37,1267.1,2.7,1.60997558
Cody Eakin,VGK,78,17,16,33,68.75,8.69,14,27,39,1198.4,1.2,1.65220284
Reilly Smith,VGK,74,13,19,32,66.67,12.58,14,35,45,1352.1,2.3,1.42001331
Craig Smith,NSH,76,17,13,30,69.77,13,14,31,42,1149.6,1.9,1.565762
Marcus Sorensen,S.J,80,15,12,27,60,11.18,19,21,28,1037,1.2,1.56219864
Oskar Lindblom,PHI,81,13,14,27,71.05,12.41,14,25,20,1113.2,1,1.45526421
Jason Zucker,MIN,81,12,14,26,66.67,14.91,14,22,45,1383.4,1.5,1.12765646
Zach Werenski,CBJ,82,8,17,25,36.76,6.66,14,41,33,1877.8,0.4,0.7988071
Nolan Patrick,PHI,72,10,15,25,73.53,11.23,14,17,38,1086,0.7,1.38121545
Patric Hornqvist,PIT,69,11,13,24,64.86,12.95,24,15,22,1067.9,2.3,1.34844089
Adam Henrique,ANA,82,10,14,24,64.86,9.28,14,20,30,1349,1.6,1.06745732
Robert Thomas,STL,70,5,18,23,76.67,5.8,14,24,33,915.1,0.9,1.508032
Miro Heiskanen,DAL,82,8,14,22,37.93,6.69,14,82,27,1895.3,1.7,0.696459651
Taylor Hall,N.J,33,7,14,21,75,6.79,14,26,29,649.7,1.5,1.93935657
Brock McGinn,CAR,82,7,14,21,61.76,12.01,14,27,42,1173.4,1.1,1.07380259
William Nylander,TOR,54,6,15,21,63.64,10.06,16,20,25,837.9,1,1.50375938
Brett Howden,NYR,66,6,15,21,67.74,7.2,14,28,23,986,-1.1,1.27789044
Adam Pelech,NYI,78,5,15,20,39.22,4.43,14,37,35,1453.1,1.6,0.8258207
Erik Johnson,COL,80,5,14,19,35.19,5.12,19,38,23,1745.2,0.8,0.6532203
Brian Gibbons,"ANA, OTT",64,8,11,19,67.86,4.77,14,21,23,454.8,-0.2,2.50659633
Alexander Steen,STL,65,7,11,18,60,7.1,14,13,22,N/A,N/A,N/A
Ron Hainsey,TOR,81,3,14,17,22.67,2.09,14,62,25,1640.7,1,0.621685863
Adam Erne,T.B,65,5,12,17,60.71,5.76,24,8,15,685.6,0.5,1.487748
Johnny Boychuk,NYI,74,2,13,15,30.61,4.45,14,51,7,1393.4,-0.2,0.6459021
Jujhar Khaira,EDM,60,2,13,15,71.43,5.1,29,24,18,754,0.4,1.19363391
MacKenzie Weegar,FLA,64,4,10,14,40,2.78,19,53,33,1085.8,0.7,0.7736231
Joel Eriksson Ek,MIN,58,7,7,14,56,10.67,14,7,12,783.5,1.2,1.07211232
Roope Hintz,DAL,58,5,8,13,68.42,6.59,14,19,29,815.3,0.2,0.956703067
Brian Boyle,"N.J, NSH",73,9,2,11,44,6.85,21,11,13,649.6,1.1,1.01600993
Drew Stafford,N.J,57,4,7,11,61.11,5.42,14,15,15,699.1,0.1,0.944071
Jayce Hawryluk,FLA,42,7,4,11,73.33,3.41,14,21,10,396.1,0.3,1.66624582
Andrew Ladd,NYI,26,3,7,10,76.92,2.52,14,12,9,359.9,-0.3,1.66712976
Jay Beagle,VAN,57,1,9,10,58.82,3.27,14,8,9,778.3,0.1,0.770911
Connor Carrick,"DAL, N.J",34,2,8,10,62.5,2.32,19,15,13,179.4,-0.4,3.34448171
Adam Gaudette,VAN,56,5,5,10,58.82,4.17,16,6,10,613.1,-0.3,0.9786332
Deryk Engelland,VGK,74,2,7,9,20.93,2.74,14,19,20,1471,-1.7,0.3670972
Ben Hutton,VAN,69,3,6,9,23.68,2.51,19,22,22,1542.6,-0.8,0.350058347
Neal Pionk,NYR,73,2,7,9,23.68,3.86,19,48,30,1545.1,-0.5,0.349491954
Kyle Brodziak,EDM,70,5,3,8,53.33,6.4,14,16,23,818.4,-0.7,0.586510241
Mario Kempe,ARI,52,3,5,8,50,4.01,14,10,8,581.4,0.7,0.825593352
Yannick Weber,NSH,62,2,6,8,28.57,1.8,14,13,7,738.5,0.1,0.6499661
Jesse Puljujarvi,EDM,46,4,3,7,53.85,3.75,14,29,20,549.9,-0.5,0.76377517
Henri Jokiharju,CHI,38,0,7,7,29.17,2.02,14,24,5,721.2,-0.3,0.5823627
Igor Ozhiganov,TOR,53,3,4,7,22.58,1.29,14,34,10,742.8,0.2,0.565428138
Kevan Miller,BOS,39,0,6,6,26.09,0.95,19,19,16,692.1,0.3,0.5201561
Slater Koekkoek,"CHI, T.B",31,2,4,6,24,1.3,14,6,3,361.8,0.8,0.9950249
Dennis Cholowski,DET,52,3,3,6,25,2.57,14,42,4,949.2,-0.5,0.379266739
Ben Harpur,OTT,51,1,4,5,20.83,1.2,29,55,13,898.6,-0.7,0.333852679
Jacob Larsson,ANA,49,0,5,5,20,2.5,14,26,9,838.6,-0.1,0.3577391
Sheldon Dries,COL,40,2,3,5,55.56,3.36,24,7,5,363,0,0.8264463
Max Jones,ANA,30,2,2,4,40,5.78,14,8,10,394.9,-0.2,0.6077488
Cody McLeod,"NSH, NYR",38,1,0,1,25,2.01,34,1,5,35.2,-0.2,1.70454538
Patrick Kane,CHI,81,26,40,66,78.57,15.97,16,44,36,1821.3,2.5,2.174271
Steven Stamkos,T.B,82,22,26,48,81.36,10.54,16,45,25,1500.6,3.5,1.91923237
Nathan MacKinnon,COL,82,23,24,47,70.15,16.02,16,48,46,1811.5,3.2,1.556721
Jack Eichel,BUF,77,16,31,47,75.81,14.56,16,61,29,1574,2.3,1.7916137
Nicklas Backstrom,WSH,80,13,28,41,74.55,9.41,16,43,39,1596.2,1.1,1.54116035
Tyler Bertuzzi,DET,73,15,22,37,72.55,11.25,18,41,34,1205.7,1.7,1.84125412
Kyle Connor,WPG,82,18,17,35,61.4,12.93,16,22,49,1578.7,2,1.33020842
Zach Parise,MIN,74,15,19,34,72.34,14.44,16,19,16,1381.4,2,1.47676265
Kasperi Kapanen,TOR,78,14,20,34,59.65,14.59,23,36,34,1295.7,1.4,1.57443857
John Carlson,WSH,80,8,25,33,35.87,5.01,16,62,33,2005.2,3.6,0.9874327
Kris Letang,PIT,65,10,22,32,43.24,6.27,16,46,49,1687.3,2.6,1.13791263
Filip Forsberg,NSH,64,15,17,32,65.31,15,16,48,49,1191.4,1.5,1.61154938
Joe Thornton,S.J,73,10,21,31,64.58,6.58,16,35,37,1135,2.5,1.63876653
Bryan Little,WPG,82,8,19,27,67.5,8.07,16,18,32,1298.3,0.2,1.24778557
Oskar Sundqvist,STL,74,12,15,27,81.82,10.32,16,9,30,1022.6,1.1,1.58419716
Anthony Mantha,DET,67,13,13,26,68.42,10.45,26,44,29,1194.4,0.9,1.30609512
Travis Sanheim,PHI,82,6,20,26,38.81,4.83,16,55,18,1602.7,2.5,0.9733575
Jakob Silfverberg,ANA,73,16,9,25,86.21,11.07,16,21,21,1248,0.5,1.20192313
Mikhail Sergachev,T.B,75,5,20,25,40.98,5.18,18,42,16,1344.2,1.2,1.1159054
Alex Iafallo,L.A,82,11,14,25,58.14,9.92,18,16,25,1380,0.2,1.0869565
Ondrej Palat,T.B,64,5,19,24,64.86,7.64,16,35,17,952.8,0.7,1.511335
Clayton Keller,ARI,82,13,10,23,60.53,11.18,18,24,35,1495.3,0.5,0.9228917
Thomas Vanek,DET,64,10,12,22,78.57,6.19,16,27,16,903.1,0.2,1.46163225
Loui Eriksson,VAN,81,8,14,22,78.57,8.14,16,7,22,1139.3,-0.7,1.15860617
Colton Sissons,NSH,75,10,12,22,57.89,9.96,16,19,26,1203.3,1.9,1.09698319
Nic Dowd,WSH,64,8,13,21,80.77,5.2,18,19,23,658.7,1.4,1.91285861
Shea Theodore,VGK,79,6,15,21,44.68,5.17,18,53,63,1587.4,1,0.793750763
Ivan Provorov,PHI,82,7,14,21,31.34,5.9,16,70,13,2058.1,0.2,0.6122151
Evan Rodrigues,BUF,74,7,14,21,58.33,7.41,16,31,24,1171,1.9,1.07600343
Lawson Crouse,ARI,81,8,12,20,66.67,10.38,31,22,23,1048.8,0.2,1.14416468
Brian Dumoulin,PIT,76,3,16,19,26.39,3.56,16,41,33,1597.9,1.5,0.713436365
Tanner Pearson,"L.A, PIT, VAN",80,15,4,19,67.86,11.57,16,21,18,229.6,-0.7,4.96515656
Brendan Leipsic,"L.A, VAN",62,6,13,19,76,6.14,18,16,20,636.5,1.4,1.79104483
Jaccob Slavin,CAR,82,2,17,19,35.85,4,16,50,68,1889.1,0.2,0.603462
Nick Jensen,"DET, WSH",80,2,16,18,32.14,3.69,16,44,22,1248.2,2.7,0.865246
Jason Dickinson,DAL,67,3,15,18,69.23,7.6,16,24,27,896,1.9,1.20535719
Vladislav Namestnikov,NYR,78,7,10,17,56.67,9,26,41,27,1231.7,-0.1,0.828123748
Brendan Lemieux,"NYR, WPG",63,12,5,17,65.38,5.92,66,14,12,243.7,0.1,4.185474
Christian Fischer,ARI,71,11,6,17,77.27,9.01,16,10,11,935,-0.2,1.09090912
Pat Maroon,STL,74,8,8,16,45.71,8.57,31,19,24,N/A,N/A,N/A
Scott Harrington,CBJ,73,2,14,16,45.71,3.09,16,14,9,952.5,0,1.007874
Andrew Cogliano,"ANA, DAL",78,5,10,15,71.43,9.66,18,28,20,609.4,0.1,1.47686243
Zach Aston-Reese,PIT,43,6,9,15,68.18,5.34,21,9,11,587.2,0.9,1.53269756
Jason Spezza,DAL,76,6,8,14,66.67,6.68,16,47,19,1008.5,0.4,0.8329202
Justin Abdelkader,DET,71,3,11,14,58.33,7.55,26,32,5,1093.3,-1.5,0.7683161
Calvin de Haan,CAR,74,1,13,14,34.15,4.48,16,46,52,N/A,N/A,N/A
Travis Dermott,TOR,64,4,10,14,32.56,3.5,16,46,22,1107.6,0.6,0.758396566
Filip Hronek,DET,46,4,10,14,56,2.41,16,38,10,918.2,0.4,0.914833367
Kyle Turris,NSH,55,2,11,13,61.9,4.38,21,20,17,863.1,-0.6,0.9037192
Par Lindholm,"TOR, WPG",65,1,12,13,54.17,5.66,16,12,22,698.4,0.2,1.11683846
Nikita Zaitsev,TOR,81,3,9,12,23.08,2.31,16,65,15,1658.4,-0.8,0.4341534
Tage Thompson,BUF,65,6,4,10,71.43,6.72,16,28,24,788.4,-1.9,0.761034966
Jan Rutta,"CHI, T.B",37,2,5,7,25,1.2,16,12,1,374.8,0.7,1.12059772
Christian Folin,"MTL, PHI",45,0,6,6,18.18,2.11,16,18,3,300.5,0.3,1.19800329
Steven Santini,N.J,39,1,3,4,22.22,1.71,16,8,8,649.6,0.1,0.369458139
Steven Kampfer,BOS,35,2,1,3,23.08,1.34,16,7,12,511.9,-0.6,0.3516312
Alex Petrovic,"EDM, FLA",35,0,2,2,22.22,1.82,16,24,8,126.3,-0.7,0.9501187
Jake Guentzel,PIT,82,31,26,57,73.08,16.78,18,35,40,1586.8,2.9,2.155281
Brayden Point,T.B,79,19,33,52,72.22,16.3,18,21,31,1494.6,4.4,2.087515
Mark Stone,"OTT, VGK",77,22,23,45,64.29,13.84,18,46,102,1213.5,4.6,2.22496915
Phil Kessel,PIT,82,15,28,43,82.69,12.53,20,55,30,1474.2,0.5,1.7501018
David Pastrnak,BOS,66,20,19,39,73.58,12.34,20,68,32,1237.8,3.5,1.89045072
Patrice Bergeron,BOS,65,14,22,36,72,11.34,18,23,31,1200.4,3.8,1.79940021
Brayden Schenn,STL,72,10,25,35,66.04,15.06,28,34,47,1337.4,1.8,1.57021081
T.J. Oshie,WSH,69,15,18,33,67.35,10.13,18,32,38,1284.2,2.6,1.541816
Dustin Brown,L.A,72,10,21,31,72.09,11.02,18,34,25,1469.2,1,1.26599514
Carl Soderberg,COL,82,15,16,31,68.89,12.47,18,20,32,1430.8,1.9,1.299972
Jared Spurgeon,MIN,82,10,20,30,48.39,4.65,18,16,22,1979.9,2.6,0.909136832
Mikael Granlund,"MIN, NSH",79,10,18,28,71.79,11.68,18,24,42,1178.8,1.2,1.425178
Ryan Ellis,NSH,82,4,23,27,40.3,4.19,18,42,35,1969.1,2.1,0.8227109
Bryan Rust,PIT,72,15,12,27,60,12.28,18,27,21,1145.1,0.5,1.41472363
Charlie Coyle,"BOS, MIN",81,10,16,26,60.47,11.75,18,32,34,335.5,-0.4,4.64977646
Dominik Simon,PIT,71,7,18,25,65.79,10.12,18,29,33,946.1,2.1,1.58545613
Seth Jones,CBJ,75,5,19,24,34.78,6.16,18,57,45,1936.7,0.6,0.743532836
Zack Kassian,EDM,79,12,11,23,48.94,9.63,53,45,32,1169.3,0.2,1.18019319
Alex Pietrangelo,STL,71,6,14,20,32.79,4.73,18,40,36,1709.3,1.8,0.702041745
Jordie Benn,MTL,81,3,17,20,33.33,2.38,18,62,12,1473.7,2,0.814277
Alex Chiasson,EDM,73,12,8,20,62.5,9.18,18,24,23,1238.8,0.7,0.9686793
Brad Richardson,ARI,66,14,5,19,65.52,8.65,18,18,22,1053.4,1,1.08221
Troy Brouwer,FLA,75,10,9,19,67.86,6.69,28,34,17,951.6,0.6,1.19798243
Ryan Reaves,VGK,80,6,11,17,65.38,8.85,23,11,35,868.8,0.6,1.17403316
Kevin Shattenkirk,NYR,73,1,16,17,44.74,4.14,18,44,31,1382.6,0,0.7377405
Mike Matheson,FLA,75,6,11,17,30.91,4.01,20,114,56,1673.8,0.6,0.6093918
Nikolay Goldobin,VAN,63,6,10,16,55.17,7.11,18,25,19,944.3,0,1.01662612
Alex Biega,VAN,41,2,13,15,50,2.82,20,17,4,724.5,1,1.242236
Marcus Foligno,MIN,82,7,8,15,62.5,8.04,33,10,24,981.5,2,0.9169638
Kris Russell,EDM,72,3,11,14,28,2.58,18,62,17,1470.8,0.8,0.571117759
Noel Acciari,BOS,72,6,8,14,66.67,8.65,23,10,30,935,0.3,0.8983957
Darren Helm,DET,61,6,7,13,56.52,6.71,18,27,27,889.1,-0.8,0.8772917
Sami Vatanen,N.J,50,1,10,11,33.33,3.01,18,28,11,1086.4,0.2,0.607511044
Derrick Pouliot,VAN,62,2,9,11,24.44,2.37,20,35,17,1063.8,0.1,0.620417356
Jakob Chychrun,ARI,53,2,9,11,42.31,2.94,18,32,14,1073.5,0.7,0.614811361
William Carrier,VGK,54,8,1,9,64.29,8.61,18,10,30,535.6,-0.3,1.00821519
Christopher Tanev,VAN,55,1,7,8,28.57,1.02,18,25,12,N/A,N/A,N/A
Maxime Lajoie,OTT,56,3,4,7,28,2.59,18,41,11,1058.7,-1.1,0.396712959
