Player,Team,GP,TOI,G,A1,A2,Points,ixG,GIVE,TAKE,WAR,p/60
Eric Fehr,WSH,75,1113.75,19,9,5,33,15.24,21,48,1.7,1.77777779
Eric Gelinas,N.J,61,1004.12,6,10,3,19,4.53,28,13,0,1.13532245
Eric Gryba,OTT,75,1174.12,0,7,5,12,2.31,40,12,0.7,0.6132252
Eric Nystrom,NSH,60,791.68,7,2,3,12,6.33,11,9,0.8,0.9094584
Eric O'Dell,WPG,11,81.77,0,1,0,1,0.48,4,8,-0.1,0.7337655
Eric Staal,CAR,77,1451.3,23,18,13,54,28.57,47,38,1.1,2.23248124
Eric Tangradi,MTL,7,54.08,0,0,0,0,0.28,2,0,-0.1,0
Erik Cole,DAL,57,827.98,18,13,2,33,11.68,27,23,0.4,2.39136219
Erik Cole,DET,11,161.25,3,1,2,6,2.81,1,1,0.4,2.23255825
Erik Condra,OTT,68,982.82,9,9,5,23,11.94,19,37,2.1,1.40412283
Erik Gudbranson,FLA,76,1414.97,4,1,8,13,4.14,33,6,0.3,0.551248431
Erik Haula,MIN,72,874.83,7,5,2,14,7.83,10,38,-0.1,0.960186541
Erik Johnson,COL,47,1147.72,12,5,6,23,5.02,38,26,-0.8,1.20238388
Erik Karlsson,OTT,82,2234.92,21,25,20,66,17.5,99,59,2.6,1.77187562
Evander Kane,WPG,37,714.57,10,7,5,22,13.27,19,18,-0.2,1.84726477
Evgeni Malkin,PIT,69,1309.48,28,21,21,70,23.92,53,45,3.1,3.20738
Evgeny Kuznetsov,WSH,80,1066.48,11,17,9,37,11.41,24,32,1.4,2.08161426
Fedor Tyutin,CBJ,67,1334.9,3,4,8,15,2.12,23,10,-0.2,0.6742078
Filip Forsberg,NSH,82,1420.67,26,20,17,63,21.78,57,50,3.2,2.6607163
Francois Beauchemin,ANA,64,1455.3,11,4,8,23,5.57,40,18,-0.5,0.948258042
Frank Corrado,VAN,10,156.68,1,0,0,1,0.36,5,1,-0.2,0.382946163
Frans Nielsen,NYI,78,1293.22,14,18,11,43,17.69,38,56,1.6,1.99502027
Freddie Hamilton,COL,17,127.93,1,0,0,1,0.9,1,2,0.3,0.469006479
Freddie Hamilton,S.J,1,8.45,0,0,0,0,0,0,0,0.3,0
Frédéric St-Denis,CBJ,4,53.18,0,0,1,1,0.11,0,0,0,1.12824368
Gabriel Bourque,NSH,69,828.98,3,7,3,13,8.73,14,27,0,0.940915346
Gabriel Dumont,MTL,3,27.37,0,0,0,0,0.43,0,0,0,0
Gabriel Landeskog,COL,82,1517.45,23,21,15,59,19.75,34,52,2.6,2.33286119
Garrett Wilson,FLA,2,17.68,0,0,0,0,0.31,0,0,0,0
Grant Clitsome,WPG,24,392.75,0,3,1,4,0.81,23,5,-0.3,0.611075759
Greg McKegg,TOR,3,27.57,0,0,0,0,0.05,0,0,0,0
Greg Pateryn,MTL,17,215.12,0,0,0,0,0.26,10,0,0,0
Gregory Campbell,BOS,70,849.45,6,3,3,12,6.96,12,13,-0.3,0.847607255
Griffin Reinhart,NYI,8,113.38,0,0,1,1,0.11,2,0,0,0.5291939
Gustav Nyquist,DET,82,1365.85,27,14,13,54,19.97,32,34,1.3,2.37214923
Hampus Lindholm,ANA,78,1697.3,7,15,12,34,6.22,68,29,1.8,1.20190883
Harry Zolnierczyk,NYI,2,22.25,0,0,0,0,0.08,0,1,0,0
Henrik Samuelsson,ARI,3,39.8,0,0,0,0,0.3,0,1,-0.1,0
Henrik Sedin,VAN,82,1525.17,18,28,27,73,14.24,38,33,2.1,2.871811
Henrik Zetterberg,DET,77,1471.55,17,30,19,66,21.02,29,37,1.7,2.69104
Ian Cole,PIT,20,369.68,1,3,4,8,1.39,4,5,0.6,1.29842031
Ian Cole,STL,54,813.02,4,1,4,9,2.48,19,7,0.6,0.6641903
Iiro Pakarinen,EDM,17,172.3,1,0,2,3,2.42,2,0,-0.4,1.04468954
J.T. Brown,T.B,52,551.55,3,3,3,9,6.11,18,7,-0.3,0.979059041
J.T. Miller,NYR,58,736.58,10,8,5,23,10.3,23,27,1.3,1.87352359
Jack Hillen,CAR,3,55.78,0,0,0,0,0.33,0,2,0,0
Jack Hillen,WSH,35,432.92,0,1,4,5,0.75,9,4,0,0.692968667
Jack Johnson,CBJ,79,1909.1,8,11,21,40,7.96,30,18,2.4,1.257137
Jack Skille,CBJ,45,563.55,6,2,0,8,6.22,2,17,-0.4,0.85174346
Jacob De La Rose,MTL,33,455.35,4,1,1,6,3.55,13,6,-0.3,0.7906006
Jacob Josefson,N.J,62,770.77,6,2,3,11,6.59,14,15,-0.3,0.8562865
Jacob Trouba,WPG,65,1515.57,7,8,7,22,9.11,76,28,0.4,0.870959461
Jaden Schwartz,STL,75,1368.45,28,23,12,63,20.62,26,59,1.4,2.76224947
Jake Gardiner,TOR,79,1656.92,4,7,13,24,5.62,66,39,0.8,0.8690824
Jake McCabe,BUF,2,22.25,0,0,0,0,0.09,0,0,0,0
Jake Muzzin,L.A,76,1725.18,10,12,19,41,8.65,68,18,1.8,1.42593813
Jakob Silfverberg,ANA,81,1267.15,13,17,9,39,17.85,19,41,1.4,1.84666371
Jakub Kindl,DET,35,556.88,5,3,5,13,2.48,22,2,0.7,1.40066075
Jakub Voracek,PHI,82,1524.63,22,31,28,81,20.54,42,34,2.7,3.18765855
James Neal,NSH,67,1211.87,23,9,5,37,21.97,31,37,2.4,1.83187962
James Sheppard,NYR,14,159.02,2,0,0,2,1.23,3,3,-0.2,0.754622042
James Sheppard,S.J,57,782.2,5,7,4,16,8.15,30,39,-0.2,1.22730756
James Van Riemsdyk,TOR,82,1564.88,27,23,6,56,28.48,27,46,-1.3,2.14712954
James Wisniewski,ANA,13,262.83,0,1,4,5,1.23,11,1,-0.1,1.14142227
James Wisniewski,CBJ,56,1199.3,8,12,9,29,6.41,22,11,-0.1,1.45084631
Jamie Benn,DAL,82,1635.73,35,32,20,87,33,50,76,3.8,3.19123578
Jamie McBain,L.A,26,329.87,3,1,5,9,1.28,6,3,1.1,1.63700855
Jamie McGinn,COL,19,280.63,4,0,2,6,3.67,7,9,-0.7,1.28282785
Jamie Oleksiak,DAL,36,482.37,1,2,5,8,1.34,22,9,0.4,0.9950868
Jan Hejda,COL,81,1672.95,1,4,8,13,2.63,30,22,-0.6,0.466242284
Jannik Hansen,VAN,81,1131.75,16,13,4,33,14.92,15,42,0.9,1.749503
Jared Boll,CBJ,72,523.78,1,3,1,5,2.33,7,5,-1,0.5727595
Jared Cowen,OTT,54,980.13,3,2,4,9,1.54,33,13,0.6,0.5509473
Jared Spurgeon,MIN,66,1493.1,9,9,7,25,7.43,30,31,1.3,1.00462127
Jarome Iginla,COL,82,1487.12,29,23,7,59,17.04,30,31,0.4,2.38044
Jaromir Jagr,FLA,20,345.02,6,7,5,18,5.07,12,7,1.2,3.13025331
Jaromir Jagr,N.J,57,1007.88,11,14,4,29,13.54,34,31,1.2,1.726396
Jarred Tinordi,MTL,13,156.87,0,1,1,2,0.27,4,1,-0.4,0.76496464
Jarret Stoll,L.A,73,1130.75,6,6,5,17,8.39,17,11,-0.4,0.902056158
Jason Akeson,PHI,13,104.65,0,0,0,0,0.6,3,1,-0.4,0
Jason Chimera,WSH,77,996.05,7,9,3,19,8.49,15,27,-1,1.14452088
Jason Demers,DAL,61,1185.38,5,6,11,22,4.6,38,28,2,1.113567
Jason Demers,S.J,20,363.82,0,2,1,3,0.85,11,9,2,0.494750142
Jason Garrison,T.B,70,1400.68,4,9,17,30,4.49,29,21,1.8,1.28509009
Jason Pominville,MIN,82,1498.98,18,23,13,54,18.77,21,35,1.6,2.16147
Jason Spezza,DAL,82,1412.25,17,19,26,62,21.95,75,51,2,2.63409448
Jason Zucker,MIN,51,768.03,21,5,0,26,14.55,19,21,1,2.03117061
Jay Beagle,WSH,62,794.15,10,7,3,20,10.53,6,30,0.8,1.51104951
Jay Bouwmeester,STL,72,1631.88,2,6,5,13,4.87,18,14,0.5,0.477976322
Jay Harrison,CAR,20,330,1,3,0,4,1.58,5,7,-1.2,0.727272749
Jay Harrison,WPG,35,546.28,2,1,2,5,1.2,27,9,-1.2,0.5491689
Jay McClement,CAR,82,1113.38,7,8,6,21,7.99,14,42,0.5,1.13168907
Jayson Megna,PIT,12,132.42,0,0,1,1,0.89,4,3,-0.4,0.453103781
Jean-Gabriel Pageau,OTT,50,709.37,10,4,5,19,9.06,13,19,1.1,1.60705984
Jeff Carter,L.A,82,1473.6,28,18,16,62,26.15,44,29,1.7,2.52443
Jeff Petry,EDM,59,1235.93,4,6,5,15,4.53,64,29,-0.4,0.728196561
Jeff Petry,MTL,19,421.52,3,4,0,7,1.47,19,14,-0.4,0.996394038
Jeff Schultz,L.A,9,150.72,0,1,0,1,0.23,5,0,-0.1,0.39808917
Jeff Skinner,CAR,77,1235.7,18,9,4,31,24.12,42,62,0.4,1.50521982
Jeremy Morin,CBJ,28,322.57,2,4,0,6,3.78,7,11,0.4,1.11603677
Jeremy Morin,CHI,15,116,0,0,0,0,1.76,2,3,0.4,0
Jerry D'amigo,BUF,9,87.57,0,0,0,0,0.35,0,3,-0.1,0
Jesper Fast,NYR,58,684.65,6,4,4,14,8.48,5,13,0.5,1.22690427
Jesse Blacker,ANA,1,6.05,0,0,0,0,0,0,0,0,0
Jesse Joensuu,EDM,20,212.57,2,0,2,4,2.72,4,9,-0.7,1.12903976
Jim Slater,WPG,82,755.2,5,6,2,13,6.33,14,13,-1.1,1.032839
Jimmy Hayes,FLA,72,1090.27,19,11,5,35,17.39,19,22,1.4,1.92612839
Jiri Hudler,CGY,78,1404.73,32,29,16,77,22.36,32,43,2.5,3.28888822
Jiri Sekac,ANA,19,246,2,2,3,7,2.72,9,5,0.3,1.70731711
Jiri Sekac,MTL,50,690.45,7,1,8,16,6.39,18,21,0.3,1.39039755
Jiri Tlusty,CAR,52,894.62,13,4,6,23,12.89,18,24,0.4,1.54255438
Jiri Tlusty,WPG,20,258.88,1,1,6,8,2.22,3,6,0.4,1.85414088
Joakim Andersson,DET,68,790.78,3,5,0,8,5.57,13,8,-1,0.6069956
Joakim Lindstrom,STL,34,376.75,3,1,2,6,3.56,8,11,-0.9,0.955540836
Joakim Lindstrom,TOR,19,199.65,1,2,1,4,1.07,5,9,-0.9,1.20210373
Joakim Nordstrom,CHI,38,416.8,0,1,2,3,3.54,3,12,-0.3,0.431861818
Joe Colborne,CGY,64,986.9,8,12,8,28,8.97,33,25,0.1,1.70230007
Joe Morrow,BOS,15,250.35,1,0,0,1,0.75,3,2,0,0.239664465
Joe Pavelski,S.J,82,1650.25,37,22,11,70,33.18,64,57,4,2.545069
Joe Piskula,NSH,1,16.45,0,0,0,0,0.01,0,0,0,0
Joe Thornton,S.J,78,1437.08,16,28,21,65,16.91,91,60,1.8,2.71383643
Joe Vitale,ARI,70,786.05,3,4,2,9,5.94,11,30,-0.7,0.686979234
Joe Whitney,N.J,4,27.5,1,0,0,1,0.05,0,0,0.1,2.18181825
Joel Armia,BUF,1,14.78,0,0,0,0,0,0,0,0,0
Joel Ward,WSH,82,1382.67,19,10,5,34,18.52,19,39,1.1,1.47540629
Joey Hishon,COL,13,131.47,1,0,1,2,2.01,2,5,0.1,0.9127557
Joffrey Lupul,TOR,55,851.97,10,7,4,21,9.88,22,36,0.6,1.47892535
Johan Franzen,DET,33,530.02,7,6,9,22,7.96,17,4,-0.4,2.490472
Johan Larsson,BUF,39,566.13,6,4,6,16,5.37,12,10,1.4,1.69572353
John-Michael Liles,CAR,57,1091.48,2,6,14,22,4.75,38,19,1.4,1.20936716
John Carlson,WSH,82,1891.97,12,24,19,55,10.37,88,41,1.3,1.7442137
John Klingberg,DAL,65,1419.7,11,18,11,40,6.27,59,32,2.6,1.690498
John Mitchell,COL,68,1078.25,11,8,7,26,10.15,18,38,1,1.44678879
John Moore,ARI,19,355.65,1,1,3,5,2,5,5,-0.6,0.843525946
John Moore,NYR,38,573.83,1,2,3,6,3.02,18,2,-0.6,0.6273635
John Ramage,CGY,1,18.17,0,0,0,0,0.09,0,0,0,0
John Scott,S.J,38,283.17,3,1,0,4,2.4,11,7,0.1,0.847547352
John Tavares,NYI,82,1695.2,38,30,18,86,38.4,109,94,2.5,3.04388881
Johnny Boychuk,NYI,72,1561,9,13,13,35,9.28,48,24,2.1,1.3452915
Johnny Gaudreau,CGY,80,1417.35,24,24,16,64,18.39,78,67,3.4,2.70928144
Johnny Oduya,CHI,76,1541.73,2,5,3,10,2.88,44,22,0.2,0.3891732
Jon Merrill,N.J,66,1356.58,2,4,8,14,2.32,32,18,0.5,0.6192042
Jonas Brodin,MIN,71,1715.87,3,4,10,17,3.21,33,33,2.3,0.594450653
Jonathan Drouin,T.B,70,926.55,4,16,12,32,6.51,25,36,0.5,2.0722034
Jonathan Ericsson,DET,82,1605.6,3,8,4,15,2.65,58,13,-1.3,0.5605381
Jonathan Huberdeau,FLA,79,1323.08,15,27,12,54,15.62,23,34,2.3,2.44883156
Jonathan Marchessault,T.B,2,23.88,1,0,0,1,0.15,0,1,0.1,2.512563
Jonathan Toews,CHI,81,1583.95,28,23,15,66,26.77,34,45,2,2.500079
Jonathon Blum,MIN,4,39.47,0,1,0,1,0.08,1,0,0,1.52014184
Jordan Caron,BOS,11,87.23,0,0,0,0,0.41,1,0,0,0
Jordan Caron,COL,19,153.83,0,0,0,0,0.69,2,1,0,0
Jordan Eberle,EDM,81,1542.42,24,25,14,63,20.21,73,37,2,2.45069432
Jordan Leopold,CBJ,18,310.42,1,1,1,3,0.79,4,2,-0.6,0.5798595
Jordan Leopold,MIN,18,239.75,0,1,0,1,0.35,4,7,-0.6,0.250260681
Jordan Leopold,STL,7,91.52,0,0,0,0,0.04,0,0,-0.6,0
Jordan Martinook,ARI,8,93.58,0,0,1,1,0.96,0,2,0.1,0.641162634
Jordan Nolan,L.A,60,597.87,6,2,1,9,4.59,16,11,-0.3,0.9032064
Jordan Oesterle,EDM,6,88.17,0,1,0,1,0.21,1,2,0,0.6805036
Jordan Schroeder,MIN,25,271.4,3,3,2,8,3.96,5,13,0.8,1.76860726
Jordan Staal,CAR,46,853.4,6,10,8,24,15.48,24,39,0.6,1.68736815
Jordan Szwarz,ARI,9,121.22,1,0,0,1,0.52,0,1,-0.7,0.494967818
Jordie Benn,DAL,73,1318.25,2,7,7,16,2.97,44,16,0.6,0.728238165
Jordin Tootoo,N.J,68,711.12,10,4,1,15,6.55,29,17,-0.3,1.26560915
Jori Lehtera,STL,75,1215.8,14,19,11,44,10.95,17,40,2.7,2.17140961
Josh Anderson,CBJ,6,80.7,0,0,1,1,0.5,3,3,0,0.743494451
Josh Bailey,NYI,70,1174.65,16,14,12,42,15.26,47,53,1.1,2.14532
Josh Gorges,BUF,46,1028.72,0,1,5,6,1.37,20,7,-1,0.349949449
Josh Jooris,CGY,60,869.5,12,6,6,24,10.38,29,39,1.8,1.65612423
Josh Leivo,TOR,9,68.88,1,0,0,1,0.91,0,7,0.1,0.87108016
Josh Manson,ANA,28,516.15,0,1,2,3,1.07,17,9,-0.8,0.3487358
Julien Brouillette,WPG,1,9.55,0,0,0,0,0,0,0,0,0
Jussi Jokinen,FLA,81,1355.78,8,19,17,44,10.94,26,29,1,1.94721854
Justin Abdelkader,DET,71,1271.6,23,15,6,44,19.43,29,16,3.1,2.07612467
Justin Braun,S.J,70,1472.25,1,8,14,23,3.63,36,19,1.4,0.9373408
Justin Falk,CBJ,5,76.08,1,0,1,2,0.24,2,1,-0.1,1.57728708
Justin Falk,MIN,13,118.32,0,0,0,0,0.28,5,0,-0.1,0
Justin Faulk,CAR,82,2002.85,15,17,17,49,12.72,50,70,0.4,1.46790826
Justin Fontaine,MIN,71,848.83,9,13,9,31,10.45,13,22,2.6,2.19125152
Justin Hodgman,ARI,5,56.98,1,0,0,1,0.83,2,0,0,1.053001
Justin Schultz,EDM,81,1831.52,6,14,11,31,8.39,69,20,0.8,1.0155499
Justin Shugg,CAR,3,17.08,0,0,0,0,0.5,1,0,0,0
Justin Williams,L.A,81,1279.92,18,10,13,41,16.27,57,25,2.5,1.921995
Jyrki Jokipakka,DAL,51,842.05,0,4,6,10,2.18,37,16,0,0.712546766
Kael Mouillierat,NYI,6,52.07,1,0,1,2,0.27,0,4,-0.1,2.30459
Karl Alzner,WSH,82,1593.45,5,6,10,21,2.5,35,15,1.7,0.7907371
Karl Stollery,COL,5,57.1,0,0,0,0,0.15,2,0,0.4,0
Karl Stollery,S.J,5,90.18,0,0,0,0,0.1,5,1,0.4,0
Keaton Ellerby,WPG,1,16.97,0,0,1,1,0,1,0,0,3.53565121
Keegan Lowe,CAR,2,27.68,0,0,0,0,0,0,2,0,0
Keith Aulie,EDM,31,443.42,0,0,1,1,0.99,12,4,-0.1,0.135311887
Keith Ballard,MIN,14,168.77,0,0,1,1,0.16,5,2,0.1,0.355513424
Keith Yandle,ARI,63,1506.23,4,12,25,41,9.49,66,21,0.4,1.63321674
Keith Yandle,NYR,21,418.47,2,4,5,11,2.05,15,14,0.4,1.577174
Kerby Rychel,CBJ,5,53.47,0,3,0,3,0.44,1,2,0.3,3.36637354
Kevan Miller,BOS,41,739.37,2,1,4,7,1.24,15,7,1.5,0.568051159
Kevin Bieksa,VAN,60,1250,4,4,6,14,5.52,64,19,-0.6,0.672
Kevin Connauton,CBJ,54,908.68,9,7,3,19,3.66,31,10,0.3,1.254567
Kevin Connauton,DAL,8,96.72,0,0,2,2,0.34,2,1,0.3,1.24069476
Kevin Fiala,NSH,1,11.42,0,0,0,0,0.18,0,2,0,0
Kevin Hayes,NYR,79,1030.23,17,25,3,45,12.75,40,45,1.1,2.620774
Kevin Klein,NYR,65,1201.83,9,6,11,26,4.16,44,15,2,1.2980206
Kevin Shattenkirk,STL,56,1263.33,8,18,18,44,6.34,35,25,4.1,2.08971524
Kimmo Timonen,CHI,16,191.6,0,0,0,0,0.15,6,0,-1,0
Klas Dahlbeck,ARI,19,364.6,0,2,1,3,0.89,4,8,-0.3,0.4936917
Klas Dahlbeck,CHI,4,41.57,1,0,0,1,0.38,0,1,-0.3,1.44334853
Korbinian Holzer,TOR,34,581.5,0,5,1,6,0.8,26,11,0.4,0.6190886
Kris Letang,PIT,69,1759.28,11,20,23,54,12.63,60,39,1.8,1.84166253
Kris Russell,CGY,79,1891.87,4,11,19,34,4.61,66,51,3,1.07829821
Kris Versteeg,CHI,61,966.97,14,13,7,34,11.97,24,31,1.2,2.1096828
Kyle Baun,CHI,3,37.62,0,0,0,0,0.3,0,1,-0.1,0
Kyle Brodziak,MIN,73,952.23,9,6,5,20,6.99,10,28,0.4,1.26019979
Kyle Chipchura,ARI,70,937.98,4,4,6,14,6.38,22,41,-0.5,0.8955415
Kyle Clifford,L.A,80,859.07,6,6,3,15,9.96,20,17,0.8,1.0476445
Kyle Cumiskey,CHI,7,93.07,0,0,0,0,0.25,2,1,0,0
Kyle Okposo,NYI,60,1173.27,18,19,14,51,21.99,45,30,1.2,2.60809517
Kyle Palmieri,ANA,57,803.52,14,7,8,29,12.05,27,15,0.2,2.16547179
Kyle Quincey,DET,73,1421.93,3,11,4,18,3.63,24,15,1.1,0.759531
Kyle Turris,OTT,82,1575.98,24,25,15,64,22.99,46,48,2.1,2.43657923
Ladislav Smid,CGY,31,432.97,0,0,1,1,0.89,10,4,-1.3,0.138577729
Lance Bouma,CGY,78,1092.78,16,12,6,34,12.73,25,22,1.1,1.8667984
Landon Ferraro,DET,3,35.95,1,0,0,1,0.23,0,3,0,1.66898465
Lars Eller,MTL,77,1193.45,15,8,4,27,12.71,30,29,0.3,1.35740924
Lauri Korpikoski,ARI,69,1052.13,6,8,7,21,10.14,15,26,-0.9,1.19757068
Lee Stempniak,NYR,53,659.25,9,1,8,18,10.64,24,11,-0.3,1.6382252
Lee Stempniak,WPG,18,243.95,6,4,0,10,2.76,5,6,-0.3,2.45952034
Leo Komarov,TOR,62,911.38,8,12,6,26,6.56,18,51,1.5,1.71169
Leon Draisaitl,EDM,37,469.73,2,6,1,9,4.71,16,14,-0.3,1.14959657
Liam O'Brien,WSH,13,98.07,1,1,0,2,1.35,1,3,0.2,1.22361577
Linden Vey,VAN,75,987.87,10,7,7,24,6.99,28,25,-0.4,1.45768166
Logan Couture,S.J,82,1561.95,27,23,17,67,30.99,72,56,2.1,2.573706
Loui Eriksson,BOS,81,1496.63,22,16,9,47,20.83,24,45,2.2,1.88423324
Lubomir Visnovsky,NYI,53,1034.95,5,9,6,20,4.83,46,46,1.2,1.1594764
Luca Sbisa,VAN,76,1427.05,3,1,7,11,2.8,46,14,-0.4,0.462492526
Lucas Lessio,ARI,26,331.65,2,1,2,5,4.48,7,7,0.1,0.9045681
Luke Adam,CBJ,3,19.33,0,0,0,0,0,0,0,-0.1,0
Luke Gazdic,EDM,40,295.65,2,0,1,3,1.91,7,1,-0.3,0.608828
Luke Glendening,DET,82,1207.08,12,2,4,18,11.06,14,26,0.3,0.89472115
Luke Schenn,PHI,58,1048.05,3,5,6,14,2.67,39,7,0.8,0.801488459
Luke Witkowski,T.B,16,242.98,0,0,0,0,0.3,10,2,0.2,0
Magnus Paajarvi,STL,10,97.97,0,0,1,1,0.82,1,0,-0.3,0.612432361
Manny Malhotra,MTL,58,629.48,1,1,2,4,2.82,23,14,-0.3,0.3812671
Marc-Andre Cliche,COL,74,784.85,2,4,1,7,3.39,16,31,-0.7,0.535134137
Marc-Edouard Vlasic,S.J,70,1547.82,9,5,9,23,5.09,31,11,1.2,0.8915766
Marc Methot,OTT,45,1020.02,1,2,8,11,1.37,24,12,1.3,0.647046149
Marc Staal,NYR,80,1690.98,5,3,12,20,4.58,43,43,-0.2,0.709647655
Marcel Goc,PIT,43,535.03,2,1,3,6,3.42,8,8,-0.2,0.67285943
Marcel Goc,STL,31,329.43,1,0,2,3,2.39,5,10,-0.2,0.546398342
Marco Scandella,MIN,64,1389.98,11,6,6,23,5.87,31,30,1.6,0.9928201
Marcus Foligno,BUF,57,924.83,8,9,3,20,7.68,25,28,0.9,1.29753578
Marcus Johansson,WSH,82,1350.95,20,8,19,47,15.38,30,29,1.8,2.08742
Marcus Kruger,CHI,81,1059.52,7,6,4,17,9.2,9,30,0.5,0.962700069
Marek Zidlicky,DET,21,378.65,3,4,4,11,1.86,7,2,0.5,1.74303448
Marek Zidlicky,N.J,63,1381.68,4,8,11,23,6.65,37,18,0.5,0.998784065
Marian Gaborik,L.A,69,1167.13,27,14,6,47,24.29,43,18,2.6,2.41618323
Marian Hossa,CHI,82,1521.47,22,21,18,61,25.61,30,68,1.8,2.40556836
Mark Alt,PHI,1,9.42,0,0,0,0,0.04,0,0,0,0
Mark Arcobello,ARI,27,423.33,9,3,4,16,4.51,15,12,0.4,2.26773453
Mark Arcobello,EDM,36,553.58,7,3,2,12,6.04,21,22,0.4,1.300625
Mark Arcobello,NSH,4,42.33,1,0,0,1,0.13,2,3,0.4,1.41743433
Mark Arcobello,PIT,10,120.87,0,1,1,2,1.19,5,2,0.4,0.992802143
Mark Barberio,T.B,52,872.7,1,2,4,7,2.36,20,13,-0.6,0.481265038
Mark Borowiecki,OTT,63,1002.62,1,4,6,11,1,21,9,0.6,0.6582753
Mark Fayne,EDM,74,1327.28,2,1,5,8,3,49,21,-0.2,0.361641854
Mark Fistric,ANA,9,133.05,0,0,0,0,0.11,2,4,-0.1,0
Mark Fraser,N.J,34,553.35,0,2,2,4,0.62,13,1,-0.8,0.4337219
Mark Giordano,CGY,61,1535.55,11,17,20,48,8.13,51,35,2.3,1.87554944
Mark Letestu,CBJ,54,720.27,7,4,2,13,5.24,7,21,0.1,1.08292723
Mark Pysyk,BUF,7,127.25,2,0,1,3,0.34,2,1,0.4,1.41453826
Mark Scheifele,WPG,82,1523.32,15,15,19,49,20.21,45,54,3.5,1.92999506
Mark Stone,OTT,80,1361.95,26,22,16,64,23.39,43,98,4,2.81948686
Mark Streit,PHI,81,1811.8,9,24,19,52,9.01,41,16,1.3,1.72204435
Mark Stuart,WPG,70,1345.03,2,7,5,14,2.21,48,13,-1,0.6245214
Marko Dano,CBJ,35,464,8,8,5,21,7.55,7,18,1.7,2.71551728
Markus Granlund,CGY,48,641.73,8,5,5,18,6.52,16,27,0.6,1.68295085
Martin Erat,ARI,79,1253.38,9,14,9,32,9.73,26,27,1.2,1.53185785
Martin Hanzal,ARI,37,656.23,8,10,6,24,9.83,12,17,0.9,2.19435263
Martin Havlat,N.J,40,592.3,5,5,4,14,6.18,12,20,0.1,1.41820025
Martin Marincin,EDM,41,764.52,1,2,2,5,1.72,38,16,-0.7,0.392403066
Martin St  Louis,NYR,74,1299.65,21,19,12,52,19.25,43,41,1.2,2.40064621
Mason Raymond,CGY,57,844.38,12,7,4,23,8.07,28,24,0,1.63433528
Mat Clark,ANA,7,89.4,0,1,0,1,0.04,2,1,0.1,0.6711409
Mathieu Perreault,WPG,62,1006.92,18,18,5,41,15.07,21,43,1.8,2.44309378
Mats Zuccarello,NYR,78,1346.2,15,21,13,49,16.12,41,60,2.9,2.18392515
Matt Bartkowski,BOS,47,796.23,0,4,0,4,2.56,25,6,0.2,0.30142045
Matt Beleskey,ANA,65,941.03,22,5,5,32,13.92,32,9,2,2.04031754
Matt Calvert,CBJ,56,895.65,13,6,4,23,11.27,19,26,1,1.54078043
Matt Carle,T.B,59,1208.78,4,6,8,18,3.63,41,13,0.3,0.893462837
Matt Cooke,MIN,29,365.4,4,3,3,10,2.38,7,11,0.2,1.6420362
Matt Cullen,NSH,62,806.82,7,7,11,25,8.51,22,26,1.9,1.85915077
Matt Donovan,NYI,12,210.88,0,3,0,3,1.16,11,3,0.2,0.853566
Matt Duchene,COL,82,1522.88,21,19,15,55,20.29,34,49,1.7,2.166947
Matt Dumba,MIN,58,870.6,8,3,5,16,4.6,28,9,2.5,1.10268784
Matt Ellis,BUF,39,324.63,1,1,0,2,1.6,2,12,0,0.3696516
Matt Fraser,BOS,24,252.55,3,0,0,3,1.89,6,6,-0.2,0.712730169
Matt Fraser,EDM,36,420.53,5,1,3,9,4.49,10,7,-0.2,1.28409386
Matt Frattin,TOR,9,63.5,0,0,0,0,0.24,1,0,-0.4,0
Matt Greene,L.A,82,1295.68,3,2,4,9,2.01,48,8,-0.1,0.416769564
Matt Halischuk,WPG,47,458,3,1,4,8,5.12,9,11,0.5,1.04803491
Matt Hendricks,EDM,71,933.8,8,6,2,16,9.07,15,31,0.3,1.02805746
Matt Hunwick,NYR,55,869.87,2,5,4,11,3.88,27,15,0.8,0.758734047
Matt Irwin,S.J,53,902.03,8,6,5,19,4.35,26,14,1.3,1.263816
Matt Lindblad,BOS,2,15.52,0,0,0,0,0.23,0,0,0,0
Matt Martin,NYI,78,879.02,8,3,3,14,11.87,27,24,0.4,0.9556096
Matt Moulson,BUF,77,1361.93,13,17,11,41,19.21,21,26,0.9,1.80626011
Matt Nieto,S.J,72,1098.38,10,10,7,27,15.81,36,38,0.4,1.47489941
Matt Niskanen,WSH,82,1833.02,4,17,10,31,5.69,76,34,2.2,1.01471889
Matt Puempel,OTT,13,104.42,2,0,1,3,2.2,0,3,0.5,1.72380769
Matt Read,PHI,80,1405.32,8,12,10,30,13.86,33,32,0.7,1.28084707
Matt Stajan,CGY,59,707.87,7,6,4,17,5.82,30,33,0.2,1.44094253
Matt Tennyson,S.J,27,474.32,2,2,4,8,1.78,18,11,-0.6,1.011975
Mattias Ekholm,NSH,80,1520.7,7,3,8,18,3.7,45,30,2.2,0.7101993
Max Friberg,ANA,1,8.78,0,0,0,0,0,0,0,0,0
Max Pacioretty,MTL,80,1551.52,37,17,13,67,31.25,43,43,1.1,2.59100747
Max Reinhart,CGY,4,32.35,0,0,0,0,0.5,0,0,-0.1,0
Max Talbot,BOS,18,219.93,0,3,0,3,2.11,2,7,-0.3,0.8184423
