Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways
Jesper Fast,NYR,69,10,16,26,57.78,10.38,12,31,19
Vincent Trocheck,"CAR, FLA",62,7,19,26,59.09,9.06,31,54,44
Rickard Rakell,ANA,65,11,15,26,61.9,13.66,2,39,24
Tom Wilson,WSH,68,9,17,26,57.78,11.53,48,29,19
Artturi Lehkonen,MTL,70,12,14,26,72.22,10.96,16,15,17
Darnell Nurse,EDM,71,4,22,26,40.63,5.65,28,44,21
Anthony Mantha,DET,43,8,18,26,76.47,8.65,14,24,17
Jake Virtanen,VAN,69,11,15,26,83.87,10.82,28,28,34
Christian Dvorak,ARI,70,10,16,26,55.32,10.18,10,21,17
Frank Vatrano,FLA,69,9,17,26,89.66,8.55,20,13,27
Anthony Beauvillier,NYI,68,11,15,26,66.67,10.02,11,42,26
Joel Eriksson Ek,MIN,62,7,19,26,63.41,7.71,20,18,15
Noel Acciari,FLA,66,19,7,26,61.9,10.5,10,19,24
Charlie McAvoy,BOS,67,2,24,26,41.94,3.63,30,53,32
Alex DeBrincat,CHI,70,7,19,26,74.29,11.21,8,31,35
Dustin Brown,L.A,66,13,12,25,65.79,11.51,10,27,22
Patrice Bergeron,BOS,61,13,12,25,54.35,8.66,18,16,28
Evgenii Dadonov,FLA,69,11,14,25,51.02,10.93,8,30,24
Alex Pietrangelo,STL,70,8,17,25,37.88,6.52,14,35,35
Erik Karlsson,S.J,56,4,21,25,59.52,3.08,10,55,41
Kyle Palmieri,N.J,65,13,12,25,67.57,10.2,18,25,24
Nazem Kadri,COL,51,15,10,25,62.5,6.96,27,25,20
Tyson Barrie,TOR,70,4,21,25,42.37,5.04,14,58,15
Marcus Foligno,MIN,59,11,14,25,75.76,8.51,20,13,21
Tyler Seguin,DAL,69,9,16,25,83.33,13.29,14,38,27
Scott Laughton,PHI,49,12,13,25,75.76,4.99,22,20,17
Chris Tierney,OTT,71,5,20,25,65.79,7.33,18,27,24
Alexander Kerfoot,TOR,65,8,17,25,58.14,8.82,28,32,27
Sean Monahan,CGY,70,11,14,25,67.57,12.66,19,26,39
Jordan Greenway,MIN,67,8,17,25,67.57,6.77,46,28,35
Thomas Chabot,OTT,71,6,19,25,40.32,5.75,28,66,36
Jesper Bratt,N.J,60,14,11,25,69.44,6.85,0,19,16
Josh Bailey,NYI,68,8,16,24,75,6.28,0,40,27
Craig Smith,NSH,69,14,10,24,52.17,12.32,18,21,23
Kevin Hayes,PHI,69,12,12,24,70.59,10.65,22,24,29
Zach Hyman,TOR,51,12,12,24,54.55,11.4,14,13,19
Blake Coleman,"N.J, T.B",66,16,8,24,63.16,13.14,28,15,35
Tanner Pearson,VAN,69,11,13,24,80,11.13,17,28,32
Valeri Nichushkin,COL,65,11,13,24,58.54,8.97,4,15,31
Jared McCann,PIT,66,11,13,24,60,9.23,15,19,26
Luke Kunin,MIN,63,12,12,24,72.73,9.84,29,13,6
Nico Hischier,N.J,58,11,13,24,75,8.71,8,18,32
